Time,Vehicle,DT,IT,CT,Type
33,1,0.480,1.000,0.740,Malicious
33,2,0.475,1.000,0.737,Malicious
33,3,0.486,0.500,0.493,Malicious
33,4,0.474,1.000,0.737,Malicious
33,5,0.510,1.000,0.755,Normal
33,6,0.532,1.000,0.766,Normal
33,7,0.536,0.500,0.518,Normal
33,8,0.522,1.000,0.761,Normal
33,9,0.524,0.500,0.512,Normal
33,10,0.533,0.500,0.516,Normal
33,11,0.535,0.500,0.517,Normal
33,12,0.528,1.000,0.764,Normal
33,13,0.539,1.000,0.770,Normal
33,14,0.533,0.500,0.516,Normal
33,15,0.535,1.000,0.767,Normal
33,16,0.527,1.000,0.764,Normal
33,17,0.532,1.000,0.766,Normal
33,18,0.536,1.000,0.768,Normal
33,19,0.525,1.000,0.762,Normal
34,0,0.476,1.000,0.738,Malicious
34,1,0.478,0.556,0.517,Malicious
34,2,0.472,0.500,0.486,Malicious
34,3,0.486,1.000,0.743,Malicious
34,4,0.472,0.500,0.486,Malicious
34,5,0.512,1.000,0.756,Normal
34,6,0.534,1.000,0.767,Normal
34,7,0.538,1.000,0.769,Normal
